,cpu,cpu_point
0,AMD Ryzen 9 7950X,64572
1,Intel Core i9-13900K,54433
2,AMD Ryzen 9 7900X,51198
3,ARM Neoverse-N1 128 Core 3000 MHz,46271
4,AMD Ryzen 9 5950X,45854
5,Intel Core i9-12900KS,44781
6,Intel Core i9-12900KF,41502
7,Intel Core i9-12900K,41463
8,Apple M1 Ultra 20 Core,41049
9,AMD Ryzen 9 5900X,39314
10,AMD Ryzen 9 3950X,39033
11,ARM Neoverse-N1 80 Core 3000 MHz,37760
12,Intel Core i9-12900F,37342
13,AMD Ryzen 7 7700X,36564
14,Intel Core i9-12900,36307
15,Intel Core i9-12900HX,35595
16,Intel Core i7-12800HX,34898
17,AMD Ryzen 9 5900,34617
18,Intel Core i7-12700K,34614
19,Intel Core i7-13700,34431
20,Intel Core i7-12700KF,34381
21,AMD Ryzen 9 PRO 5945,34271
22,Intel Core i9-10980XE @ 3.00GHz,33263
23,Intel Core i9-12900T,33060
24,AMD Ryzen 9 3900XT,32950
25,AMD Ryzen 9 3900X,32764
26,Intel Core i9-9980XE @ 3.00GHz,32214
27,Intel Core i9-12950HX,32150
28,Intel Core i7-12700F,31518
29,AMD Ryzen 9 PRO 3900,31407
30,Intel Core i7-12700,31285
31,Intel Core i7-12850HX,31062
32,Intel Core i9-9960X @ 3.10GHz,30778
33,Intel Core i5-13500,30650
34,AMD Ryzen 9 3900,30631
35,Intel Core i9-9990XE @ 4.00GHz,30162
36,Intel Core i9-7980XE @ 2.60GHz,30133
37,Intel Core i9-12900HK,29389
38,Intel Core i9-12900H,29050
39,Intel Core i9-10940X @ 3.30GHz,28392
40,Intel Core i9-9940X @ 3.30GHz,28379
41,AMD Ryzen 5 7600X,28265
42,Intel Core i7-12700E,28217
43,AMD Ryzen 7 5800X,28142
44,ARM Neoverse-N1 64 Core 0 MHz,28079
45,Intel Core i5-12600K,27677
46,AMD Ryzen 7 5800X3D,27561
47,Intel Core i5-12600KF,27233
48,Intel Core i9-7960X @ 2.80GHz,27068
49,Intel Core i7-12700H,26861
50,AMD Ryzen 7 PRO 5845,26807
51,AMD Ryzen 7 5700X,26622
52,Intel Core i9-10920X @ 3.50GHz,26544
53,Intel Core i9-7940X @ 3.10GHz,26418
54,Intel Core i5-13400,26355
55,AMD Ryzen 7 5800,25893
56,Intel Core i9-11900K @ 3.50GHz,25550
57,Intel Core i9-11900KF @ 3.50GHz,25423
58,Intel Core i9-9920X @ 3.50GHz,25333
59,AMD Ryzen 7 PRO 5750G,24861
60,AMD Ryzen 9 6900HX,24830
61,AMD Ryzen 7 5700,24766
62,Intel Core i7-12650H,24747
63,Intel Core i7-11700K @ 3.60GHz,24669
64,AMD Ryzen 7 5700G,24569
65,AMD Ryzen 9 PRO 6950H,24504
66,Intel Core i7-12800H,24235
67,AMD Ryzen 9 6900HS,24150
68,Intel Core i7-11700KF @ 3.60GHz,24091
69,AMD Ryzen 9 PRO 6950HS,23843
70,AMD Ryzen 7 3800XT,23766
71,AMD Ryzen 7 6800H,23707
72,AMD Ryzen 7 6800HS Creator Edition,23641
73,Intel Core i9-7920X @ 2.90GHz,23579
74,Intel Core i9-10900K @ 3.70GHz,23574
75,AMD Ryzen 7 PRO 6850H,23543
76,Intel Core i5-12600HX,23493
77,Intel Core i9-11980HK @ 2.60GHz,23452
78,Intel Core i9-10900KF @ 3.70GHz,23319
79,AMD Ryzen 7 3800X,23311
80,Intel Core i7-12700T,23210
81,AMD Ryzen 9 5980HX,23076
82,AMD Ryzen 7 PRO 3700,23045
83,Intel Core i9-11900 @ 2.50GHz,22996
84,AMD Ryzen 9 5900HX,22995
85,Intel Core i9-11900F @ 2.50GHz,22995
86,Intel Core i9-10850K @ 3.60GHz,22895
87,AMD Ryzen Threadripper 1920X,22773
88,AMD Ryzen 7 3700X,22709
89,Intel Core i9-11900KB @ 3.30GHz,22695
90,AMD Ryzen 7 6800HS,22681
91,Intel Core i9-10900X @ 3.70GHz,22657
92,Intel Core i5-12600H,22624
93,Intel Core i7-11700B @ 3.20GHz,22600
94,AMD Ryzen 7 5700GE,22484
95,Intel Core i9-11950H @ 2.60GHz,22359
96,AMD Ryzen 9 6900HS Creator Edition,22265
97,AMD Ryzen 7 PRO 5750GE,22258
98,Apple M1 Max 10 Core 3200 MHz,22249
99,AMD Ryzen 9 5900HS,22153
100,AMD Ryzen 7 PRO 6860Z,22152
101,AMD Ryzen Threadripper 1920,22066
102,Apple M1 Pro 10 Core 3200 MHz,22033
103,AMD Ryzen 5 5600X,21970
104,AMD Ryzen 5 PRO 5645,21762
105,Intel Core i9-10910 @ 3.60GHz,21753
106,Intel Core i5-12500H,21664
107,AMD Ryzen 5 5600,21508
108,AMD Ryzen 9 5980HS,21491
109,AMD Ryzen 7 5800H,21350
110,Intel Core i9-7900X @ 3.30GHz,21268
111,Intel Core i5-12490F,21241
112,Intel Core i7-11700F @ 2.50GHz,21208
113,Intel Core i5-12600,21182
114,Intel Core i7-11800H @ 2.30GHz,21136
115,Intel Core i7-11850H @ 2.50GHz,21121
116,Intel Core i9-11900H @ 2.50GHz,21063
117,AMD Ryzen 7 6800U,21036
118,AMD Ryzen 7 PRO 6850U,21020
119,AMD Ryzen 9 5900H,20960
120,AMD Ryzen 7 5800HS Creator Edition,20948
121,AMD Ryzen 7 PRO 4700G,20848
122,Intel Core i7-12700TE,20712
123,Intel Core i9-10900F @ 2.80GHz,20673
124,AMD Ryzen 7 5800HS,20661
125,Intel Core i9-10900E @ 2.80GHz,20658
126,AMD Ryzen 7 PRO 4750G,20570
127,Intel Core i7-7900X @ 3.30GHz,20324
128,Intel Core i5-12500,20303
129,Intel Core i9-10900 @ 2.80GHz,20293
130,AMD Ryzen 7 4700GE,20218
131,AMD Ryzen 7 4700G,20207
132,AMD Ryzen 5 PRO 5650G,20159
133,AMD Ryzen 5 PRO 6650H,20103
134,Intel Core i7-11700 @ 2.50GHz,20085
135,AMD Ryzen 7 PRO 6850HS,20062
136,Intel Core i7-1280P,19845
137,AMD Ryzen 5 5600G,19834
138,Intel Core i5-12400F,19783
139,Intel Core i5-11600K @ 3.90GHz,19736
140,Intel Core i5-11600KF @ 3.90GHz,19705
141,Intel Core i9-9900KS @ 4.00GHz,19557
142,Intel Core i5-12400,19501
143,AMD Ryzen 5 5500,19483
144,Intel Core i9-9820X @ 3.30GHz,19371
145,AMD Ryzen 9 4900HS,19335
146,AMD Ryzen 9 4900H,19220
147,Intel Core i7-10700K @ 3.80GHz,19190
148,AMD Ryzen 5 6600H,19139
149,Intel Core i7-10700KF @ 3.80GHz,19033
150,AMD Ryzen 5 6600HS Creator Edition,18975
151,AMD Ryzen 7 4800H,18951
152,AMD Ryzen 5 5600GE,18879
153,Hygon C86 7255 16-core,18831
154,ARM Neoverse-N1 80 Core 2600 MHz,18823
155,AMD Ryzen 7 4800HS,18816
156,AMD Ryzen 7 5800U,18813
157,AMD Ryzen 5 3600XT,18731
158,AMD Ryzen 5 PRO 5650GE,18657
159,Intel Core i9-9900K @ 3.60GHz,18636
160,Intel Core i9-9900KF @ 3.60GHz,18599
161,AMD Ryzen 7 PRO 4750GE,18470
162,Intel Core i9-11900T @ 1.50GHz,18444
163,Intel Core i5-12450H,18362
164,AMD Ryzen 7 5825U,18326
165,Intel Core i7-1270P,18304
166,AMD Ryzen 5 3600X,18297
167,Intel Core i5-11600 @ 2.80GHz,18241
168,AMD Ryzen 7 Extreme Edition,18192
169,AMD 4700S,18098
170,Intel Core i7-9800X @ 3.80GHz,18096
171,Intel Core i9-10900TE @ 1.80GHz,17888
172,AMD Ryzen 5 3600,17816
173,AMD Ryzen 5 PRO 3600,17813
174,AMD Ryzen 5 6600U,17804
175,Intel Core i5-11500B @ 3.30GHz,17801
176,Intel Core i5-11500 @ 2.70GHz,17628
177,AMD Ryzen 7 2700X,17604
178,Intel Core i5-12500T,17571
179,AMD Ryzen 7 4980U Microsoft Surface Edition,17532
180,AMD Ryzen 7 PRO 5850U,17397
181,Intel Core i5-1250P,17368
182,Apple M1 Pro 8 Core 3200 MHz,17295
183,Intel Core i7-7820X @ 3.60GHz,17234
184,AMD Ryzen 7 PRO 2700X,17221
185,Intel Core i7-6950X @ 3.00GHz,17215
186,Intel Core i5-11400F @ 2.60GHz,17200
187,Intel Core i5-1240P,17157
188,AMD Ryzen 5 5600H,17126
189,Intel Core i7-1260P,17104
190,Intel Core i5-11400 @ 2.60GHz,17074
191,AMD Ryzen 5 PRO 6650U,17057
192,Intel Core i7-10700F @ 2.90GHz,17008
193,AMD Ryzen 7 4800U,17004
194,AMD Ryzen Threadripper 1900X,16999
195,Intel Core i5-12500TE,16865
196,Intel Core i9-9900 @ 3.10GHz,16835
197,Intel Core i7-10700 @ 2.90GHz,16809
198,Intel Core i5-12600T,16532
199,AMD Ryzen Embedded V2718,16500
200,AMD Ryzen 7 1800X,16450
201,Intel Core i7-10700E @ 2.90GHz,16418
